# code|table|column|value|rows|preview|number|source|filter-sort|summary|spaces|reset-view|about
ru|Таблица|Столбец|Значение|Строки|Предпросмотр|Число|Источник|Фильтрация и сортировка|Сводка по столбцу|Показывать пробелы|Сбросить представление|О программе
uk|Таблиця|Стовпець|Значення|Рядки|Попередній перегляд|Число|Джерело|Фільтрування та сортування|Зведення стовпця|Показувати пробіли|Скинути подання|Про програму
be|Табліца|Слупок|Значэнне|Радкі|Папярэдні прагляд|Лік|Крыніца|Фільтраванне і сартаванне|Зводка слупка|Паказваць прабелы|Скінуць выгляд|Пра праграму
bg|Таблица|Колона|Стойност|Редове|Преглед|Число|Източник|Филтриране и сортиране|Обобщение на колона|Показване на интервалите|Нулиране на изгледа|Относно
mk|Табела|Колона|Вредност|Редови|Преглед|Број|Извор|Филтрирање и сортирање|Резиме на колона|Прикажи празни места|Ресетирај приказ|За програмата
el|Πίνακας|Στήλη|Τιμή|Γραμμές|Προεπισκόπηση|Αριθμός|Πηγή|Φιλτράρισμα και ταξινόμηση|Σύνοψη στήλης|Εμφάνιση κενών|Επαναφορά προβολής|Σχετικά
sq|Tabelë|Kolonë|Vlerë|Rreshta|Parapamje|Numër|Burim|Filtro dhe rendit|Përmbledhje e kolonës|Shfaq hapësirat|Rivendos pamjen|Rreth
tr|Tablo|Sütun|Değer|Satırlar|Önizleme|Sayı|Kaynak|Filtrele ve sırala|Sütun özeti|Boşlukları göster|Görünümü sıfırla|Hakkında
lb|Tabell|Kolonn|Wäert|Reien|Virschau|Zuel|Quell|Filteren a sortéieren|Kolonneniwwersiicht|Eidelzeeche weisen|Usiicht zrécksetzen|Iwwer
ca|Taula|Columna|Valor|Files|Previsualització|Nombre|Origen|Filtra i ordena|Resum de columna|Mostra els espais|Restableix la vista|Quant a
an|Tabla|Columna|Valor|Ringleras|Vista previa|Numero|Orichen|Filtrar y ordenar|Resumen d'a columna|Amostrar espacios|Restablir a vista|Sobre
eu|Taula|Zutabea|Balioa|Errenkadak|Aurrebista|Zenbakia|Iturburua|Iragazi eta ordenatu|Zutabearen laburpena|Erakutsi zuriuneak|Berrezarri ikuspegia|Honi buruz
gl|Táboa|Columna|Valor|Filas|Vista previa|Número|Orixe|Filtrar e ordenar|Resumo da columna|Amosar espazos|Restabelecer a vista|Sobre
oc|Taula|Colomna|Valor|Linhas|Apercebut|Nombre|Font|Filtrar e triar|Resumit de colomna|Afichar los espacis|Reïnicializar la vista|A prepaus
oc-aran|Taula|Colomna|Valor|Linhes|Previsualizacion|Nombre|Origina|Filtrar e ordenar|Resumit dera colomna|Mostrar es espacis|Restablir era vista|A prepaus
fur|Tabele|Colone|Valôr|Riis|Anteprime|Numar|Font|Filtre e ordene|Somari de colone|Mostre i spazis|Ripristine la viodude|Informazions
lij|Tabella|Colònna|Valô|Righe|Anteprimma|Nùmero|Origine|Filtra e òrdina|Riassunto da colònna|Mostra i spaçi|Repiggia a vista|Informassioin
sc|Tabella|Colunna|Valore|Lìnias|Previsualizatzione|Nùmeru|Orìgine|Filtra e òrdina|Resumu de sa colunna|Mustra sos ispàtzios|Riprìstina sa vista|Informatziones
co|Tavula|Culonna|Valore|Righe|Anteprima|Numeru|Origine|Filtrà è urdinà|Riassuntu di a culonna|Mustrà i spazii|Ristabilisce a vista|Infurmazioni
vec|Tabeła|Cołona|Vałor|Righe|Anteprima|Nùmaro|Sorzente|Filtra e ordena|Resunto de ła cołona|Mostra i spasi|Riprìstina ła vista|Informasion
br|Taolenn|Bann|Gwerzh|Linennoù|Alberz|Niver|Tarzh|Silañ ha renkañ|Diverradenn ar bann|Diskouez an esaouennoù|Adderaouekaat ar gwel|Diwar-benn
cy|Tabl|Colofn|Gwerth|Rhesi|Rhagolwg|Rhif|Ffynhonnell|Hidlo a didoli|Crynodeb colofn|Dangos bylchau|Ailosod golwg|Ynghylch
ga|Tábla|Colún|Luach|Rónna|Réamhamharc|Uimhir|Foinse|Scag agus sórtáil|Achoimre colúin|Taispeáin spásanna|Athshocraigh an t-amharc|Maidir le
eo|Tabelo|Kolumno|Valoro|Vicoj|Antaŭrigardo|Nombro|Fonto|Filtri kaj ordigi|Kolumna resumo|Montri spacetojn|Restarigi la vidon|Pri
